UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2016,26,4760537,2419878,2340659,1776438,1693354,375095,375140,36309,32977,159220,163917,7900,7098,64916,68173,1833086,1752933,401744,405029,56794,54147,185158,190128,14425,13638,1918785,1881969,1338460,1294369,349147,349697,20460,19674,153869,158775,5688,5283,51161,54171,1382974,1341590,369899,373265,34763,34550,175985,181177,10809,10476,501093,458690,437978,398985,25948,25443,15849,13303,5351,5142,2212,1815,13755,14002,450112,411343,31845,31764,22031,19597,9173,8951,3616,3162
R,7,2016,27,4574182,2323043,2251139,1713150,1628852,348670,353335,34582,31096,159087,167831,7600,6785,59954,63240,1765431,1683946,372807,380546,53938,50707,182925,192699,13655,12986,1845414,1817749,1295434,1251508,324255,329270,19268,18485,154081,162806,5542,5107,46834,50573,1336181,1295423,342675,350846,32566,32413,174426,184183,10362,10050,477629,433390,417716,377344,24415,24065,15314,12611,5006,5025,2058,1678,13120,12667,429250,388523,30132,29700,21372,18294,8499,8516,3293,2936
R,7,2016,28,4467524,2265991,2201533,1687333,1606496,325606,332701,33845,30396,154991,165252,7574,6734,56642,59954,1736535,1658764,347787,358198,52103,49095,178018,188980,13516,12683,1789575,1773751,1269298,1233488,302356,309384,18465,17781,150239,160511,5437,5062,43780,47525,1307186,1274874,319029,329208,30748,30902,169865,180845,10093,9837,476416,427782,418035,373008,23250,23317,15380,12615,4752,4741,2137,1672,12862,12429,429349,383890,28758,28990,21355,18193,8153,8135,3423,2846
R,7,2016,29,4390587,2225729,2164858,1669539,1586575,310850,321259,32774,29396,151997,163090,7423,6650,53146,57888,1715748,1637040,331586,345585,50357,47976,173463,185922,12924,12310,1756595,1741788,1256743,1217222,288613,298532,17787,17138,147270,158471,5288,4922,40894,45503,1292101,1256769,304043,317262,29634,30062,165577,178045,9671,9424,469134,423070,412796,369353,22237,22727,14987,12258,4727,4619,2135,1728,12252,12385,423647,380271,27543,28323,20723,17914,7886,7877,3253,2886
R,7,2016,30,4407064,2231830,2175234,1682423,1601574,303886,317727,32609,29406,153392,164489,7527,6734,51993,55304,1727531,1649466,323595,340562,50070,47594,174451,186344,13119,12366,1757162,1750383,1264655,1230075,281412,294907,17106,16909,148746,159948,5342,5096,39901,43448,1299121,1267560,295926,312433,28844,29725,166668,178608,9775,9610,474668,424851,417768,371499,22474,22820,15503,12497,4646,4541,2185,1638,12092,11856,428410,381906,27669,28129,21226,17869,7783,7736,3344,2756
R,7,2016,31,4438430,2240544,2197886,1694631,1621005,301439,318021,32133,29356,154644,168141,7429,6691,50268,54672,1738228,1668455,320082,339822,49321,47622,175113,190118,12909,12304,1762991,1768634,1273824,1245353,279120,295081,16757,16854,150045,163604,5201,5049,38044,42693,1306587,1282247,292560,311487,28145,29646,167397,182456,9518,9536,477553,429252,420807,375652,22319,22940,15376,12502,4599,4537,2228,1642,12224,11979,431641,386208,27522,28335,21176,17976,7716,7662,3391,2768
R,7,2016,32,4297216,2160877,2136339,1635962,1575568,285644,306001,31357,28618,152750,167078,7086,6473,48078,52601,1677546,1621095,303335,326420,48058,46593,172414,188500,12332,12027,1699917,1715451,1229842,1206748,264198,284043,16280,16307,148181,162701,5021,4802,36395,40850,1261116,1241960,276908,299257,27398,28858,164858,180940,9153,9234,460960,420888,406120,368820,21446,21958,15077,12311,4569,4377,2065,1671,11683,11751,416430,379135,26427,27163,20660,17735,7556,7560,3179,2793
R,7,2016,33,4360382,2188198,2172184,1661241,1603740,287671,310750,31795,29120,151858,169210,7139,6600,48494,52764,1703234,1649262,305365,331168,48731,47519,171584,190458,12442,12203,1719773,1742154,1248001,1227478,266247,287716,16378,16516,147329,164687,5056,4915,36762,40842,1279588,1262527,278885,302868,27769,29314,164046,182815,9256,9380,468425,430030,413240,376262,21424,23034,15417,12604,4529,4523,2083,1685,11732,11922,423646,386735,26480,28300,20962,18205,7538,7643,3186,2823
R,7,2016,34,4356833,2181794,2175039,1659901,1607155,285589,311434,31119,28496,150977,169950,7168,6498,47040,51506,1700569,1651510,302624,331600,48008,46774,169841,190343,12407,11957,1713605,1741432,1246676,1226779,264166,288788,16029,15865,146399,165319,5063,4766,35272,39915,1276919,1260973,276236,303809,27258,28673,162211,182668,9194,9137,468189,433607,413225,380376,21423,22646,15090,12631,4578,4631,2105,1732,11768,11591,423650,390537,26388,27791,20750,18101,7630,7675,3213,2820
R,7,2016,35,4308497,2154165,2154332,1644764,1594780,282009,309692,30223,28508,144007,164808,6923,6112,46239,50432,1684549,1638306,298833,329589,46939,46445,162510,184474,12070,11453,1693097,1725108,1237141,1218207,261401,287255,15406,16033,139425,160324,4883,4478,34841,38811,1266891,1251486,273352,301882,26623,28524,155059,177075,8939,8783,461068,429224,407623,376573,20608,22437,14817,12475,4582,4484,2040,1634,11398,11621,417658,386820,25481,27707,20316,17921,7451,7399,3131,2670
