name,lon,lat
Jiugucheng Air Base,116.11799621582031,37.4900016784668
Kaifeng Air Base,114.33899688720703,34.75389862060547
Laiyang Air Base,120.59100341796875,36.963600158691406
Luyang Air Base,112.89099884033203,33.68470001220703
Qingdao-Cangkou Air Base,120.39199829101562,36.15919876098633
Wendeng Air Base,122.02300262451172,37.26470184326172
Xingcheng Air Base,120.697998047,40.580299377399996
Xuzhou Daguozhang Air Base,117.55799865722656,34.05889892578125
Xuzhou Jiulishan Air Base,117.24600219726562,34.23059844970703
Yidu Air Base,118.5270004272461,36.591400146484375
Zhucheng Air Base,119.43900299072266,36.02750015258789
Altay Air Base,88.08580780030002,47.7498855591
Baoji Air Base,107.47200012207031,34.531700134277344
Gonghe Air Base,100.4800033569336,36.336700439453125
Lanzhou Air Base,104.21800231933594,35.91780090332031
